dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,24,0.616,0.616,0.616,35.0,3.683,129.0,0.953,0.809,0.925,0.721,0.069,0.069,0.069,1.563,0.312,13.266,0.021,0.048,0.029,0.059
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,24,0.688,0.688,0.688,36.3,3.78,137.5,0.956,0.813,0.932,0.724,0.13,0.13,0.13,2.497,0.293,17.011,0.025,0.061,0.039,0.089
audiology,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,24,0.725,0.725,0.725,37.8,3.957,149.9,0.938,0.792,0.9,0.696,0.112,0.112,0.112,2.044,0.34,17.572,0.02,0.049,0.041,0.088
audiology,RuleKit_mincov-5_measure-C2,24,0.651,0.651,0.651,41.5,3.148,130.9,0.962,0.776,0.959,0.726,0.076,0.076,0.076,2.635,0.193,14.161,0.011,0.077,0.027,0.097
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-10,24,0.7,0.7,0.7,60.8,2.921,177.7,0.985,0.829,0.969,0.766,0.091,0.091,0.091,4.05,0.171,16.7,0.012,0.053,0.031,0.07
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-100,24,0.759,0.759,0.759,81.2,2.525,205.1,0.991,0.825,0.984,0.761,0.09,0.09,0.09,5.959,0.128,19.342,0.01,0.05,0.025,0.074
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,24,0.712,0.712,0.712,43.2,3.403,147.1,0.975,0.805,0.957,0.734,0.073,0.073,0.073,2.044,0.183,11.911,0.013,0.058,0.028,0.06
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,24,0.669,0.669,0.669,61.3,2.879,176.5,0.989,0.82,0.979,0.765,0.077,0.077,0.077,4.62,0.16,16.741,0.009,0.049,0.026,0.073
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-3,24,0.645,0.645,0.645,38.5,3.437,132.3,0.973,0.82,0.956,0.747,0.082,0.082,0.082,1.434,0.082,4.668,0.009,0.048,0.026,0.068
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-5,24,0.671,0.671,0.671,47.3,3.272,154.7,0.973,0.797,0.948,0.73,0.127,0.127,0.127,2.669,0.209,12.419,0.005,0.043,0.018,0.078
audiology,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,24,0.708,0.708,0.708,70.5,2.711,191.2,0.991,0.825,0.984,0.767,0.121,0.121,0.121,5.523,0.149,19.6,0.01,0.055,0.025,0.072
audiology,RuleKit_mincov-5_measure-Correlation,24,0.583,0.583,0.583,31.5,3.271,103.2,0.947,0.793,0.958,0.727,0.117,0.117,0.117,1.354,0.315,12.237,0.025,0.07,0.034,0.092
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,24,0.724,0.724,0.724,37.5,3.945,148.3,0.939,0.796,0.902,0.705,0.071,0.071,0.071,2.068,0.336,17.969,0.02,0.047,0.042,0.084
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,24,0.73,0.73,0.73,37.8,3.957,149.9,0.938,0.792,0.9,0.696,0.108,0.108,0.108,2.044,0.34,17.572,0.02,0.049,0.041,0.088
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,24,0.636,0.636,0.636,35.0,3.683,129.0,0.953,0.809,0.925,0.721,0.06,0.06,0.06,1.563,0.312,13.266,0.021,0.048,0.029,0.059
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,24,0.636,0.636,0.636,37.4,3.932,147.5,0.94,0.796,0.902,0.705,0.114,0.114,0.114,2.171,0.35,18.975,0.021,0.047,0.042,0.084
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,24,0.69,0.69,0.69,35.0,3.683,129.0,0.953,0.809,0.925,0.721,0.061,0.061,0.061,1.563,0.312,13.266,0.021,0.048,0.029,0.059
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,24,0.638,0.638,0.638,36.3,3.78,137.5,0.956,0.813,0.932,0.724,0.073,0.073,0.073,2.497,0.293,17.011,0.025,0.061,0.039,0.089
audiology,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,24,0.79,0.79,0.79,37.8,3.957,149.9,0.938,0.792,0.9,0.696,0.179,0.179,0.179,2.044,0.34,17.572,0.02,0.049,0.041,0.088
auto-mpg,AQ15,3,1.362,1.362,1.362,81.8,3.419,279.6,1.0,0.774,1.0,0.627,0.064,0.064,0.064,5.891,0.095,19.945,0.0,0.029,0.0,0.058
auto-mpg,CN2_default,3,1.137,1.16,1.137,78.0,1.658,129.5,0.994,0.47,0.991,0.334,0.082,0.088,0.082,7.04,0.047,14.554,0.003,0.087,0.004,0.104
auto-mpg,CN2_v2,3,1.036,1.037,1.037,44.7,1.435,64.2,0.945,0.467,0.917,0.324,0.076,0.076,0.076,2.111,0.066,5.007,0.014,0.08,0.025,0.093
auto-mpg,IDS,3,3.504,3.507,3.507,13.9,1.537,21.5,0.626,0.626,0.333,0.333,0.054,0.055,0.056,3.695,0.144,6.223,0.001,0.006,0.0,0.0
auto-mpg,JRip,3,0.019,0.041,0.019,7.7,2.346,18.2,0.874,0.776,0.81,0.642,0.007,0.018,0.007,1.889,0.218,5.35,0.039,0.092,0.065,0.128
auto-mpg,LORD,3,0.073,0.073,0.073,98.8,2.562,253.2,,0.769,,,0.048,0.048,0.048,8.39,0.057,23.074,,0.039,,
auto-mpg,MLRules,3,0.155,0.263,0.157,100.0,5.71,571.0,0.982,0.802,0.982,0.705,0.008,0.327,0.01,0.0,0.22,21.97,0.006,0.07,0.007,0.099
auto-mpg,OneR,3,0.001,0.001,0.001,9.2,1.0,9.2,0.813,0.774,0.718,0.649,0.0,0.001,0.0,0.919,0.0,0.919,0.006,0.035,0.011,0.062
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2,3,0.496,0.496,0.496,28.1,3.035,85.3,0.88,0.804,0.828,0.709,0.142,0.142,0.142,0.994,0.115,4.62,0.031,0.052,0.054,0.087
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,3,0.608,0.608,0.608,30.0,3.177,95.3,0.889,0.781,0.834,0.677,0.174,0.174,0.174,0.0,0.176,5.272,0.024,0.04,0.042,0.083
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,3,0.501,0.501,0.501,104.0,2.44,253.8,0.915,0.784,0.85,0.669,0.116,0.116,0.116,5.497,0.085,17.631,0.024,0.068,0.044,0.109
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,3,0.519,0.519,0.519,9.0,3.233,29.1,0.806,0.759,0.774,0.694,0.14,0.14,0.14,0.0,0.152,1.37,0.013,0.04,0.022,0.069
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,3,0.501,0.501,0.501,21.3,3.304,70.4,0.867,0.756,0.814,0.636,0.099,0.099,0.099,0.949,0.123,4.502,0.012,0.057,0.025,0.115
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,3,0.547,0.547,0.547,9.0,3.233,29.1,0.806,0.759,0.774,0.694,0.116,0.116,0.116,0.0,0.152,1.37,0.013,0.04,0.022,0.069
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,3,0.609,0.609,0.609,15.0,3.367,50.5,0.837,0.759,0.775,0.651,0.203,0.203,0.203,0.0,0.178,2.677,0.023,0.062,0.053,0.101
auto-mpg,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,3,0.636,0.636,0.636,42.9,2.799,120.1,0.944,0.791,0.912,0.687,0.205,0.205,0.205,1.449,0.093,5.99,0.016,0.053,0.025,0.099
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation,3,0.519,0.519,0.519,15.1,3.266,49.4,0.801,0.754,0.724,0.649,0.077,0.077,0.077,1.595,0.212,6.931,0.017,0.075,0.038,0.132
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,3,0.692,0.692,0.692,27.2,3.326,90.5,0.812,0.759,0.723,0.636,0.113,0.113,0.113,1.932,0.198,8.86,0.018,0.077,0.043,0.135
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,3,0.888,0.888,0.888,46.4,3.325,154.0,0.785,0.736,0.671,0.592,0.166,0.166,0.166,5.337,0.174,17.282,0.018,0.082,0.036,0.125
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,3,0.494,0.494,0.494,8.2,3.417,27.7,0.793,0.736,0.739,0.649,0.083,0.083,0.083,3.553,0.171,11.096,0.01,0.057,0.036,0.109
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,3,0.537,0.537,0.537,11.7,3.438,40.2,0.797,0.736,0.712,0.618,0.115,0.115,0.115,1.703,0.173,5.903,0.026,0.042,0.062,0.065
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,3,0.514,0.514,0.514,9.0,3.433,30.9,0.799,0.718,0.729,0.601,0.102,0.102,0.102,0.0,0.152,1.37,0.027,0.042,0.055,0.091
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,3,0.564,0.564,0.564,14.8,3.531,52.2,0.795,0.739,0.707,0.625,0.088,0.088,0.088,0.632,0.252,3.49,0.024,0.056,0.047,0.07
auto-mpg,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,3,0.608,0.608,0.608,22.1,3.357,74.1,0.812,0.771,0.729,0.664,0.141,0.141,0.141,2.331,0.161,7.578,0.016,0.05,0.044,0.103
auto-mpg,RuleKit_mincov-5_measure-C2,3,0.525,0.525,0.525,33.4,2.881,96.2,0.895,0.779,0.838,0.666,0.137,0.137,0.137,1.506,0.101,5.371,0.031,0.058,0.061,0.089
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-10,3,0.512,0.512,0.512,30.0,3.177,95.3,0.889,0.781,0.834,0.677,0.114,0.114,0.114,0.0,0.176,5.272,0.024,0.04,0.042,0.083
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-100,3,0.574,0.574,0.574,104.0,2.44,253.8,0.915,0.784,0.85,0.669,0.165,0.165,0.165,5.497,0.085,17.631,0.024,0.068,0.044,0.109
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,3,0.478,0.478,0.478,9.6,3.206,30.7,0.805,0.752,0.765,0.677,0.088,0.088,0.088,1.265,0.162,3.592,0.013,0.045,0.034,0.091
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,3,0.53,0.53,0.53,25.5,3.321,84.7,0.9,0.774,0.864,0.679,0.124,0.124,0.124,1.581,0.185,7.258,0.014,0.051,0.02,0.086
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-3,3,0.489,0.489,0.489,9.0,3.233,29.1,0.806,0.759,0.774,0.694,0.109,0.109,0.109,0.0,0.152,1.37,0.013,0.04,0.022,0.069
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-5,3,0.51,0.51,0.51,15.0,3.367,50.5,0.837,0.759,0.775,0.651,0.096,0.096,0.096,0.0,0.178,2.677,0.023,0.062,0.053,0.101
auto-mpg,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,3,0.575,0.575,0.575,50.6,2.689,136.0,0.951,0.786,0.918,0.681,0.164,0.164,0.164,2.366,0.104,7.071,0.023,0.05,0.042,0.104
auto-mpg,RuleKit_mincov-5_measure-Correlation,3,0.574,0.574,0.574,17.5,3.367,58.8,0.814,0.764,0.724,0.655,0.135,0.135,0.135,2.014,0.138,6.07,0.022,0.068,0.042,0.105
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,3,0.77,0.77,0.77,27.2,3.326,90.5,0.812,0.759,0.723,0.636,0.195,0.195,0.195,1.932,0.198,8.86,0.018,0.077,0.043,0.135
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,3,0.847,0.847,0.847,46.4,3.325,154.0,0.785,0.736,0.671,0.592,0.139,0.139,0.139,5.337,0.174,17.282,0.018,0.082,0.036,0.125
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,3,0.461,0.461,0.461,6.0,3.45,20.7,0.798,0.749,0.759,0.677,0.095,0.095,0.095,0.0,0.112,0.675,0.012,0.065,0.018,0.115
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,3,0.513,0.513,0.513,13.8,3.485,48.0,0.802,0.746,0.723,0.638,0.038,0.038,0.038,1.549,0.134,4.784,0.027,0.039,0.054,0.061
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,3,0.562,0.562,0.562,9.0,3.433,30.9,0.799,0.718,0.729,0.601,0.145,0.145,0.145,0.0,0.152,1.37,0.027,0.042,0.055,0.091
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,3,0.606,0.606,0.606,14.8,3.531,52.2,0.795,0.739,0.707,0.625,0.12,0.12,0.12,0.632,0.252,3.49,0.024,0.056,0.047,0.07
auto-mpg,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,3,0.637,0.637,0.637,24.6,3.286,80.7,0.809,0.764,0.717,0.646,0.146,0.146,0.146,2.675,0.188,8.795,0.024,0.045,0.043,0.083
autos,AQ15,6,1.285,1.285,1.285,73.0,2.397,175.0,1.0,0.4,1.0,0.429,,,,,,,,,,
